player_name,team,age,position,projected_ppr,last_season_ppr,ppr_delta,ppr_delta_pct,projected_rank,adp_rank,draft_value,trajectory_trend,snap_share,adp,value_score
Jahmyr Gibbs,DET,22,RB,626.13,33.5,592.63,1717.77,1.0,,,3.6,0.75,,
Bijan Robinson,ATL,22,RB,584.96,339.7,245.26,71.99,2.0,,,3.5,0.87,,
Chuba Hubbard,CAR,25,RB,552.17,236.6,315.57,132.81,3.0,,,5.9,0.84,,
James Cook,BUF,25,RB,479.95,39.6,440.35,1084.61,4.0,,,9.8,0.45,,
Jonathan Taylor,IND,25,RB,347.54,241.7,105.84,43.61,5.0,,,-7.4,0.72,,
Gus Edwards,LAC,29,RB,340.1,34.9,305.2,850.15,6.0,5.0,-1.0,9.1,0.46,582.0,0.58
Devon Achane,MIA,23,RB,336.2,299.9,36.3,12.06,7.0,,,-6.45,0.7,,
Derrick Henry,BAL,30,RB,319.31,14.4,304.91,1979.95,8.0,,,-5.05,0.59,,
Bucky Irving,TB,22,RB,307.65,243.4,64.25,26.29,9.0,,,-0.9,0.72,,
Joe Mixon,HOU,28,RB,305.18,18.0,287.18,1511.45,10.0,,,6.05,0.53,,
Breece Hall,NYJ,23,RB,296.57,234.9,61.67,26.14,11.0,,,1.1,0.7,,
Ameer Abdullah,LV,31,RB,293.92,124.2,169.72,135.56,12.0,,,-0.95,0.62,,
Rico Dowdle,DAL,26,RB,274.56,195.8,78.76,40.02,13.0,,,4.15,0.67,,
Saquon Barkley,PHI,27,RB,268.54,86.1,182.44,209.46,14.0,,,-11.75,0.81,,
Najee Harris,PIT,26,RB,266.2,204.6,61.6,29.96,15.0,,,5.7,0.49,,
Khalil Herbert,CIN,26,RB,260.03,31.5,228.53,703.17,16.0,,,7.45,0.95,,
Kenneth Walker,SEA,24,RB,259.04,179.2,79.84,44.31,17.0,,,0.3,0.59,,
Will Shipley,PHI,22,RB,258.48,13.7,244.78,1665.16,18.0,,,6.65,0.1,,
Alvin Kamara,NO,29,RB,254.91,263.3,-8.39,-3.18,19.0,,,-0.45,0.45,,
Tyjae Spears,TEN,23,RB,250.89,113.6,137.29,119.8,20.0,,,-6.95,0.65,,
Chase Brown,CIN,24,RB,243.45,252.0,-8.55,-3.38,21.0,,,-6.6,0.81,,
Emanuel Wilson,GB,25,RB,235.96,96.0,139.96,144.29,22.0,,,0.75,0.42,,
Aaron Jones,MIN,30,RB,212.29,236.6,-24.31,-10.23,23.0,,,0.1,0.62,,
Ronnie Rivers,LA,25,RB,210.57,18.3,192.27,996.21,24.0,,,5.65,0.79,,
Tank Bigsby,JAX,23,RB,203.26,126.0,77.26,60.83,25.0,,,1.05,0.36,,
Chris Rodriguez,WAS,24,RB,183.62,10.5,173.12,1505.37,26.0,,,4.8,0.22,,
J.K. Dobbins,LAC,26,RB,183.03,165.0,18.03,10.86,27.0,,,0.2,0.3,,
Javonte Williams,DEN,24,RB,181.1,155.9,25.2,16.06,28.0,,,-0.75,0.31,,
D'Andre Swift,CHI,25,RB,180.35,210.5,-30.15,-14.26,29.0,,,1.1,0.79,,
Alexander Mattison,LV,26,RB,167.05,103.5,63.55,60.82,30.0,,,0.25,0.31,,
Audric Estime,DEN,21,RB,166.88,46.5,120.38,253.44,31.0,,,-0.7,0.24,,
Tyler Allgeier,ATL,24,RB,164.46,104.2,60.26,57.28,32.0,,,2.4,0.22,,
Christian McCaffrey,SF,28,RB,161.74,8.7,153.04,1577.69,33.0,,,,0.25,,
Kyren Williams,LA,24,RB,161.7,26.7,135.0,487.36,34.0,,,-3.85,1.0,,
Antonio Gibson,NE,26,RB,158.5,99.3,59.2,59.02,35.0,,,2.3,0.66,,
Cam Akers,MIN,25,RB,158.49,92.2,66.29,71.13,36.0,,,4.3,0.31,,
Hassan Haskins,LAC,25,RB,157.0,30.7,126.3,398.43,37.0,,,-1.3,0.36,,
Jordan Mason,SF,25,RB,153.34,113.9,39.44,34.33,38.0,,,3.25,0.52,,
Travis Etienne,JAX,25,RB,152.18,127.2,24.98,19.48,39.0,,,1.65,0.43,,
Tyrone Tracy,NYG,25,RB,145.81,178.3,-32.49,-18.12,40.0,,,-4.15,0.6,,
Zack Moss,CIN,27,RB,137.27,80.9,56.37,68.83,41.0,1.0,-40.0,4.2,0.52,273.8,0.5
Roschon Johnson,CHI,23,RB,130.97,77.4,53.57,68.33,42.0,,,3.3,0.21,,
Jaleel McLaughlin,DEN,24,RB,129.79,96.2,33.59,34.55,43.0,,,0.2,0.41,,
Pierre Strong,CLE,26,RB,129.24,35.2,94.04,259.78,44.0,,,2.45,0.35,,
Justice Hill,BAL,27,RB,128.92,7.7,121.22,1393.29,45.0,,,-5.05,0.41,,
Jordan Mims,NO,25,RB,128.35,18.9,109.45,549.98,46.0,,,2.6,0.36,,
Josh Jacobs,GB,26,RB,127.69,288.1,-160.41,-55.49,47.0,,,-4.55,0.31,,
Zach Charbonnet,SEA,23,RB,115.59,180.1,-64.51,-35.62,48.0,,,1.3,0.76,,
Jeremy McNichols,WAS,29,RB,107.05,6.8,100.25,1285.28,49.0,,,0.5,0.17,,
Tony Pollard,TEN,27,RB,101.95,194.7,-92.75,-47.39,50.0,,,-0.65,0.73,,
Emari Demercado,ARI,25,RB,96.01,54.7,41.31,74.16,51.0,,,2.05,0.11,,
Braelon Allen,NYJ,20,RB,87.6,85.2,2.4,2.78,52.0,,,1.15,0.22,,
Kenny McIntosh,SEA,24,RB,84.73,22.4,62.33,266.36,53.0,,,0.5,0.24,,
Isaiah Davis,NYJ,22,RB,83.66,45.9,37.76,80.5,54.0,,,1.45,0.12,,
Sione Vaki,DET,23,RB,81.06,5.4,75.66,1182.11,55.0,,,1.75,0.08,,
Rachaad White,TB,25,RB,79.33,196.6,-117.27,-59.35,56.0,,,-4.35,0.36,,
D'Onta Foreman,CLE,28,RB,78.84,31.6,47.24,144.9,57.0,,,3.7,0.66,,
Raheem Blackshear,CAR,26,RB,78.77,8.0,70.77,786.35,58.0,,,1.7,0.09,,
Deuce Vaughn,DAL,23,RB,75.03,11.8,63.23,494.0,59.0,,,0.7,0.19,,
Austin Ekeler,WAS,29,RB,72.56,127.1,-54.54,-42.58,60.0,,,-6.85,0.63,,
Brian Robinson,WAS,25,RB,68.7,23.3,45.4,186.82,61.0,,,0.5,0.52,,
David Montgomery,DET,27,RB,61.75,3.6,58.15,1264.18,62.0,,,-7.9,0.25,,
Raheem Mostert,MIA,32,RB,59.97,68.9,-8.93,-12.77,63.0,,,-0.6,0.4,,
D'Ernest Johnson,JAX,28,RB,59.56,33.9,25.66,73.52,64.0,,,0.9,0.19,,
Blake Corum,LA,24,RB,58.48,33.5,24.98,72.42,65.0,,,0.9,0.18,,
Jamaal Williams,NO,29,RB,57.05,37.1,19.95,52.36,66.0,4.0,-62.0,1.2,0.36,486.0,0.12
DeeJay Dallas,ARI,26,RB,54.77,15.0,39.77,248.55,67.0,,,-1.7,0.15,,
Jamycal Hasty,NE,28,RB,53.98,28.8,25.18,84.5,68.0,,,0.05,0.16,,
Velus Jones,CHI,27,RB,53.13,2.9,50.23,1288.04,69.0,,,,0.07,,
